"image","xmin","ymin","xmax","ymax","label"
"3D_L0215_161.jpg",1845.5364716434697,1136.6371771191225,2176.7614159641826,1522.154963680387,"Past"
"3D_L0215_161.jpg",1454.3786191536747,86.02618577075098,2005.4164810690422,670.326581027668,"Past"
"3D_L0215_161.jpg",538.9933184855233,134.2159090909091,794.9398663697104,447.44911067193675,"Past"
"3D_L0215_161.jpg",867.207126948775,519.7336956521739,1297.7995545657016,781.7653162055335,"Gorgonia"
"3D_L0215_161.jpg",27.10022271714922,284.8087944664031,542.0044543429843,700.4451581027668,"Gorgonia"
"3D_L0215_161.jpg",746.0813609310031,178.22695331566,1369.386483425435,434.23485845399995,"Gorgonia"
"3D_L0215_161.jpg",2360.730512249443,1179.330533596838,2704,1417.2672924901185,"Gorgonia"
"3D_L0215_161.jpg",1912.0712694877502,592.018280632411,2434.5228668941977,950.1937046004842,"Gorgonia"
"3D_L0215_161.jpg",1689.2472160356347,0,2183.0734966592427,200.47677865612647,"Gorgonia"
"3D_L0215_161.jpg",0,4.7060276679841895,421.5590200445434,194.45306324110672,"Gorgonia"
"3D_L0215_161.jpg",1493.523385300668,1128.12895256917,1550.7349665924276,1200.4135375494072,"Past"
"3D_L0215_161.jpg",1397.1670378619153,658.2791501976285,1890.9933184855233,1001.630928853755,"SeaRods"
"3D_L0215_161.jpg",2314.5501706484642,0,2626.479180887372,217.4548274818402,"SeaRods"
"3D_L0215_161.jpg",2227.8006825938564,234.06015435835351,2347.7733788395904,348.45240617433416,"SeaRods"
"3D_L0215_161.jpg",2554.4955631399316,520.0407838983051,2704,671.3337621065375,"Past"
"3D_L0215_161.jpg",1463.6668941979522,1206.394294794189,1620.554266211604,1313.4064013317193,"Gorgonia"
"3D_L0215_161.jpg",1214.492832764505,837.3870308716706,1480.2784982935152,1115.9875151331719,"Gorgonia"
"3D_L0215_161.jpg",734.6020477815699,1398.2780720338983,1052.0682593856654,1524,"SeaRods"
"3D_L0215_161.jpg",2452.980204778157,405.64853208232444,2561.8784982935153,512.6606386198547,"SeaRods"
"3D_L0215_161.jpg",2357.00204778157,254.355553874092,2536.038225255973,398.2683868038741,"Gorgonia"
"3D_L0215_161.jpg",210.4136518771331,1287.575892857143,404.2156996587031,1444.403980024213,"Antillo"
"3D_L0215_161.jpg",1.8457337883959044,1189.7889679176756,123.6641638225256,1414.8833989104116,"Antillo"
"3D_L0215_161.jpg",112.58976109215017,1427.7986531476997,180.88191126279864,1508.9802512106537,"Antillo"
"3D_L0215_161.jpg",125.5098976109215,748.8252875302663,847.1918088737201,1451.7841253026634,"Gorgonia"
"3D_L0215_161.jpg",882.2607508532423,1234.0698395883776,1179.4238907849829,1366.9124546004841,"Gorgonia"
"3D_L0215_161.jpg",623.8580204778157,591.9972003631962,799.2027303754267,715.6146337772398,"Gorgonia"
"3D_L0215_161.jpg",1260.6361774744028,0,1666.6976109215018,69.85192191283292,"Gorgonia"
